市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030179,ツンボ池,ツンボイケ,香川県,坂出市,坂出市府中町5491,坂出市農林水産課,5.5,35,2.2,34.29800000,133.91000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25065.pdf
372030,372030180,前池,マエイケ,香川県,坂出市,坂出市府中町5595,坂出市農林水産課,3.5,75,1.2,34.30000000,133.91000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25066.pdf
372030,372030183,新池,シンイケ,香川県,坂出市,坂出市西庄町字醍醐1387,坂出市農林水産課,5,73,1.6,34.30600000,133.89800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25094.pdf
372030,372030184,サンマイ池,サンマイイケ,香川県,坂出市,坂出市西庄町字醍醐1399,坂出市農林水産課,4.2,77,3,34.30800000,133.89700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25095.pdf
372030,372030185,西山上池,ニシヤマカミイケ,香川県,坂出市,坂出市西庄町字醍醐1500,坂出市農林水産課,5,52,2.5,34.30900000,133.89500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25096.pdf
372030,372030186,西山下池,ニシヤマシタイケ,香川県,坂出市,坂出市西庄町字醍醐1498,坂出市農林水産課,3.5,45,1.4,34.30900000,133.89500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25097.pdf
372030,372030188,谷内池,ヤナイイケ,香川県,坂出市,坂出市谷町4004,坂出市農林水産課,4.3,83,3.5,34.30800000,133.86400000,〇,https://www.city.sakaide.lg.jp/uploaded/attachment/25207.pdf
372030,372030189,御大師池,オダイシイケ,香川県,坂出市,坂出市福江町1丁目826,坂出市農林水産課,6,162,29,34.30700000,133.86200000,〇,https://www.city.sakaide.lg.jp/uploaded/attachment/6712.pdf
372030,372030191,奥谷池,オクタニイケ,香川県,坂出市,坂出市福江町3丁目93,坂出市農林水産課,6.8,71,3.5,34.30300000,133.86400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25067.pdf
372030,372030192,八幡池（宮池）,ハチマンイケ,香川県,坂出市,坂出市八幡町2丁目2945,坂出市農林水産課,4.2,230,20,34.31200000,133.84300000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/6712.pdf
372030,372030195,好井池,ヨシイイケ,香川県,坂出市,坂出市川津町春日3169,坂出市農林水産課,5,66,1.5,34.29400000,133.85600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25098.pdf
372030,372030196,そろばん池,ソロバンイケ,香川県,坂出市,坂出市川津町春日3218,坂出市農林水産課,2,280,4,34.29300000,133.85400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24931.pdf
372030,372030197,天皇池,テンノウイケ,香川県,坂出市,坂出市川津町東山2344,坂出市農林水産課,4.7,37,1.2,34.29200000,133.86100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25099.pdf
